,Date/Time,Lat,Lon,Base,date,month,week,MonthDayNum,HourOfDay,DayOfWeekNum,DayOfWeek,Time,labels,labels_DBSCAN
249344,2014-06-27 10:12:00,40.6935,-73.9463,B02598,2014-06-27,6,26,27,10,5,Friday,Friday-10,1,0
302051,2014-06-06 10:08:00,40.7552,-73.9723,B02617,2014-06-06,6,23,6,10,5,Friday,Friday-10,2,0
344438,2014-06-13 10:34:00,40.7613,-73.9873,B02617,2014-06-13,6,24,13,10,5,Friday,Friday-10,2,0
76479,2014-06-06 10:09:00,40.7699,-73.9576,B02598,2014-06-06,6,23,6,10,5,Friday,Friday-10,2,0
249434,2014-06-27 10:32:00,40.7132,-73.9558,B02598,2014-06-27,6,26,27,10,5,Friday,Friday-10,1,0
76652,2014-06-06 10:41:00,40.7274,-73.9811,B02598,2014-06-06,6,23,6,10,5,Friday,Friday-10,5,0
302086,2014-06-06 10:20:00,40.6797,-73.9735,B02617,2014-06-06,6,23,6,10,5,Friday,Friday-10,1,0
344300,2014-06-13 10:03:00,40.763,-73.9815,B02617,2014-06-13,6,24,13,10,5,Friday,Friday-10,2,0
138551,2014-06-13 10:22:00,40.6506,-73.9768,B02598,2014-06-13,6,24,13,10,5,Friday,Friday-10,1,0
545509,2014-06-13 10:04:00,40.7338,-74.0071,B02682,2014-06-13,6,24,13,10,5,Friday,Friday-10,5,0
302083,2014-06-06 10:18:00,40.7336,-73.9562,B02617,2014-06-06,6,23,6,10,5,Friday,Friday-10,2,0
195147,2014-06-20 10:39:00,40.7174,-73.9984,B02598,2014-06-20,6,25,20,10,5,Friday,Friday-10,5,0
435600,2014-06-27 10:32:00,40.6146,-73.9688,B02617,2014-06-27,6,26,27,10,5,Friday,Friday-10,1,0
387621,2014-06-20 10:08:00,40.7592,-73.9634,B02617,2014-06-20,6,25,20,10,5,Friday,Friday-10,2,0
